study_word,test_word,Reference,Old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
laptop,,,,0,0,0,5,,,,,0.04481,,0.014448,0.04481,0.04481,1.9940645,1.718518519,1.9575645,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
Tshirt,,,,0,1,1,7,,,,,2.0086224,,1.9943562,2.0086224,2.0086224,3.0948692,2.414814815,1.0791096,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
police,,,,0,2,2,12,,,,,3.1086504,,3.0952543,3.1086504,3.1086504,5.293768,3.496296296,2.1768344,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
book ,,,,0,3,3,0,,,,,5.3081344,,5.2939526,5.3081344,5.3081344,5.9447158,2.818518519,0.6292449,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
cruise,,,,0,4,4,11,,,,,5.9579023,,5.9448849,5.9579023,5.9579023,6.5275495,3.555555556,0.5615163,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
case,,,,0,5,5,10,,,,,6.5411715,,6.5277715,6.5411715,6.5411715,7.1273179,2.737037037,0.5780613,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
board,,,,0,6,6,4,,,,,7.1412365,,7.1274975,7.1412365,7.1412365,7.6599942,1.944444444,0.5119663,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
marble,,,,0,7,7,3,,,,,7.6753032,,7.6602736,7.6753032,7.6753032,8.2602117,1.659259259,0.580289,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
keys,,,,0,8,8,13,,,,,8.2744916,,8.2604034,8.2744916,8.2744916,8.9095545,2.840740741,0.6289152,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
pastry,,,,0,9,9,9,,,,,8.9243072,,8.9097534,8.9243072,8.9243072,9.6430652,1.851851852,0.7133336,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
phone,,,,0,10,10,2,,,,,9.6578146,,9.643234,9.6578146,9.6578146,10.3764879,2.244444444,0.712008,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
cushion,,,,0,11,11,1,,,,,10.3908762,,10.3766577,10.3908762,10.3908762,11.0934624,1.466666667,0.6966446,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
mouse,,,,0,12,12,8,,,,,11.1074012,,11.0936541,11.1074012,11.1074012,11.7606698,1.274074074,0.645772,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
poster,,,,0,13,13,14,,,,,11.7743638,,11.7608425,11.7743638,11.7743638,12.4603659,2.014814815,0.6798966,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
chart,,,,0,14,14,6,,,,,12.4741875,,12.4605559,12.4741875,12.4741875,13.1268543,2.462962963,0.6451707,,,,,,,,,,,,,,,,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,_ru_is_,cruise,old,cruise,,,,0,0,0,6,13.1405438,,,,,,,,13.1296549,13.1405438,13.1405438,13.1405438,0.0051384,18.374615,cruise,"[0.13333333333333333, -0.025]","[-0.05462962962962963, -0.31574074074074077]","[1, 1]","[0, 0]","[0, 0]","[4.059224099852145, 5.24176949984394]",['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,v_s_,vase,new,vase,,,,0,1,1,17,18.389874,,,,,,,,18.3754873,18.389874,18.389874,18.389874,0.0028777,21.4243542,vase,[-0.025],[-0.31574074074074077],[1],[0],[0],[3.0455851000733674],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,c_s_,case,old,case,,,,0,2,2,5,21.439625,,,,,,,,21.4247411,21.439625,21.439625,21.439625,0.0014965,27.1239946,chsy,[-0.025],[-0.31574074074074077],[1],[0],[0],[5.696943599963561],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,T_hi_t,Tshirt,old,tshirt,,,,0,3,3,2,27.1389796,,,,,,,,27.1246828,27.1389796,27.1389796,27.1389796,0.0036781,31.4559495,tshirt,[-0.025],[-0.31574074074074077],[1],[0],[0],[4.327001099940389],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,_ha_t,chart,old,dart,,,,0,4,4,1,31.4715659,,,,,,,,31.4566118,31.4715659,31.4715659,31.4715659,0.0022686,40.0723766,ndhd,[-0.025],[-0.31574074074074077],[1],[0],[0],[8.612630899995565],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,c_m_ra,camera,new,acmera,,,,0,5,5,19,40.0870778,,,,,,,,40.0731957,40.0870778,40.0870778,40.0870778,0.0027683,44.4875785,camera,[-0.025],[-0.31574074074074077],[1],[0],[0],[4.41130069992505],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,l_pt_p,laptop,old,laptop,,,,0,6,6,0,44.5031052,,,,,,,,44.4879198,44.5031052,44.5031052,44.5031052,0.0016507,48.0542784,laptop,[-0.025],[-0.31574074074074077],[1],[0],[0],[3.5641067000105977],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,c_s_io_,cushion,old,cushion,,,,0,7,7,14,48.0697165,,,,,,,,48.0548876,48.0697165,48.0697165,48.0697165,0.0022809,53.671322,cushion,[-0.025],[-0.31574074074074077],[1],[0],[0],[5.613293000031263],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,_ho_e,phone,old,phone,,,,0,8,8,12,53.6853089,,,,,,,,53.6721166,53.6853089,53.6853089,53.6853089,0.0025858,62.0692323,choose,[-0.025],[-0.31574074074074077],[1],[0],[0],[8.394009500043467],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,K_y_,Keys,old,keys,,,,0,9,9,8,62.0842368,,,,,,,,62.0698454,62.0842368,62.0842368,62.0842368,0.0032187,65.3521047,keys,[-0.025],[-0.31574074074074077],[1],[0],[0],[3.278411899926141],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,bo_t_e,bottle,new,bottle,,,,0,10,10,18,65.3672534,,,,,,,,65.3526975,65.3672534,65.3672534,65.3672534,0.0020805,68.9020289,bottle,[-0.025],[-0.31574074074074077],[1],[0],[0],[3.546459099976346],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,P_as_tr,pastry ,old,pastry,,,,0,11,11,4,68.9166426,,,,,,,,68.9029989,68.9166426,68.9166426,68.9166426,0.0047985,78.9159176,pass,[],[],[],[],[],[],[],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,_o_rd,board,old,coard,,,,0,12,12,10,78.9323243,,,,,,,,78.9168419,78.9323243,78.9323243,78.9323243,0.0171357,86.2330577,coard,[-0.025],[-0.31574074074074077],[1],[0],[0],[7.312219799961895],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,P_li_e,police,old,police,,,,0,13,13,7,86.2478635,,,,,,,,86.2338209,86.2478635,86.2478635,86.2478635,0.002727,89.6659832,police,[-0.025],[-0.31574074074074077],[1],[0],[0],[3.4287467999383807],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,_ou_se,mouse,old,mouse,,,,0,14,14,3,89.6806103,,,,,,,,89.666613,89.6806103,89.6806103,89.6806103,0.0022781,98.4646799,mousse,[-0.025],[-0.31574074074074077],[1],[0],[0],[8.794925399823114],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,ta_l_,table,new,table,,,,0,15,15,15,98.4796183,,,,,,,,98.4655441,98.4796183,98.4796183,98.4796183,0.0030576,107.3969967,taller,[-0.025],[-0.31574074074074077],[1],[0],[0],[8.927599699934945],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,p_ncIl,pencil,new,pencil,,,,0,16,16,16,107.411594,,,,,,,,107.397891,107.411594,107.411594,107.411594,0.0061592,111.0791361,pencil,[-0.025],[-0.31574074074074077],[1],[0],[0],[3.674717500107363],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,_a_bl,marble,old,marble,,,,0,17,17,11,111.0947276,,,,,,,,111.0796618,111.0947276,111.0947276,111.0947276,0.0019514,121.0781694,cba,[],[],[],[],[],[],[],121.0937381,121.0937381,121.0937381,9.9978954,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,P_st_r,poster,old,poster,,,,0,18,18,9,121.0937381,,,,,,,,121.0788903,121.0937381,121.0937381,121.0937381,0.0019277,124.8612774,palsdn,[-0.024074074074074074],[-0.32037037037037036],[1],[0],[0],[3.778980700066313],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,_oo_,book,old,book,,,,0,19,19,13,124.8762324,,,,,,,,124.8618834,124.8762324,124.8762324,124.8762324,0.0021079,128.0939957,cool,[-0.024074074074074074],[-0.32037037037037036],[1],[0],[0],[3.2292603999376297],['text_3'],,,,,398273,1,2024-11-07_21h10.20.793,Word Priming exp,2024.1.5,None,2024-11-07 21h10.25.080308 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,old,13,0.866666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,new,4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,priming,0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
