study_word,test_word,Reference,Old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
pastry,,,,0,0,0,9,,,,,0.0512022,,0.0136289,0.0512022,0.0512022,3.8556913,2.037037037,3.815675,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
phone,,,,0,1,1,2,,,,,3.8685987,,3.8560776,3.8685987,3.8685987,6.0550979,2.033333333,2.176937,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
mouse,,,,0,2,2,8,,,,,6.0681632,,6.0553627,6.0681632,6.0681632,6.9039886,2.033333333,0.8271924,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
police,,,,0,3,3,12,,,,,6.9181899,,6.9041808,6.9181899,6.9181899,8.7551483,2.033333333,1.8296794,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
marble,,,,0,4,4,3,,,,,8.7678805,,8.7554628,8.7678805,8.7678805,9.720223,2.033333333,0.9434037,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
Tshirt,,,,0,5,5,7,,,,,9.7344897,,9.7204688,9.7344897,9.7344897,10.5203994,2.033333333,0.7789515,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
chart,,,,0,6,6,6,,,,,10.5344419,,10.5205997,10.5344419,10.5344419,11.3866512,2.033333333,0.8463061,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
poster,,,,0,7,7,14,,,,,11.4010103,,11.3868252,11.4010103,11.4010103,12.4373927,2.033333333,1.0302527,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
board,,,,0,8,8,4,,,,,12.4508642,,12.437669,12.4508642,12.4508642,13.353361,2.033333333,0.8940426,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
laptop,,,,0,9,9,5,,,,,13.3672328,,13.3535723,13.3672328,13.3672328,14.1695162,2.033333333,0.7963517,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
cushion,,,,0,10,10,1,,,,,14.1839442,,14.1696852,14.1839442,14.1839442,16.0201377,1.603703704,1.8309354,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
book ,,,,0,11,11,0,,,,,16.0336814,,16.0203726,16.0336814,16.0336814,17.3360049,1.040740741,1.2958279,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
case,,,,0,12,12,10,,,,,17.3502623,,17.3361856,17.3502623,17.3502623,18.0365873,1.040740741,0.6803915,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
cruise,,,,0,13,13,11,,,,,18.050112,,18.0368245,18.050112,18.050112,19.3859802,1.040740741,1.3303801,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
keys,,,,0,14,14,13,,,,,19.3999265,,19.3861823,19.3999265,19.3999265,20.1361427,1.040740741,0.7306362,,,,,,,,,,,,,,,461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,bo_t_e,bottle,new,botal,,,,0,0,0,18,20.1501172,,,,,,,,20.1389618,20.1501172,20.1501172,20.1501172,0.0051835,24.4519301,bottle,[-0.05],[-0.3],[1],[0],[0],[4.30971120018512],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,ta_l_,table,new,cable,,,,0,1,1,15,24.4659595,,,,,,,,24.4530572,24.4659595,24.4659595,24.4659595,0.002248,32.4667984,table,[-0.05],[-0.3],[1],[0],[0],[8.010971899842843],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,K_y_,Keys,old,keys,,,,0,2,2,8,32.4817556,,,,,,,,32.4675203,32.4817556,32.4817556,32.4817556,0.0038876,35.5158894,keys,[-0.05],[-0.3],[1],[0],[0],[3.0440438999794424],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,_ru_is_,cruise,old,cruise,,,,0,3,3,6,35.5312355,,,,,,,,35.5165491,35.5312355,35.5312355,35.5312355,0.002194,39.2321686,cruise,[-0.05],[-0.3],[1],[0],[0],[3.7128283998463303],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,_o_rd,board,old,board,,,,0,4,4,10,39.2474217,,,,,,,,39.2326997,39.2474217,39.2474217,39.2474217,0.0019101,44.8151277,board,[-0.05],[-0.3],[1],[0],[0],[5.579888199921697],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,c_s_,case,old,case,,,,0,5,5,5,44.8300223,,,,,,,,44.8157642,44.8300223,44.8300223,44.8300223,0.0023095,53.7642118,cc,[-0.05],[-0.3],[1],[0],[0],[8.945216899970546],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,p_ncIl,pencil,new,pencii,,,,0,6,6,16,53.7789307,,,,,,,,53.7651075,53.7789307,53.7789307,53.7789307,0.0045466,57.414527,pencil,[-0.05],[-0.3],[1],[0],[0],[3.6441752000246197],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,_ou_se,mouse,old,mouse,,,,0,7,7,3,57.4283442,,,,,,,,57.4153441,57.4283442,57.4283442,57.4283442,0.0032318,61.9460875,mouse,[-0.05],[-0.3],[1],[0],[0],[4.526983799878508],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,_ha_t,chart,old,chart,,,,0,8,8,1,61.961237,,,,,,,,61.9466979,61.961237,61.961237,61.961237,0.0022485,67.6620075,chart,[-0.025],[-0.3055555555555556],[1],[0],[0],[5.712452800013125],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,P_st_r,poster,old,poster,,,,0,9,9,9,67.6771272,,,,,,,,67.6626412,67.6771272,67.6771272,67.6771272,0.0034481,77.6761663,p,[],[],[],[],[],[],[],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
